INFO 2020-12-03 22:44:19,995 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 22:44:25,074 basehttp 124 "GET /admin/home/banner/add/ HTTP/1.1" 200 19787
INFO 2020-12-03 22:44:25,110 basehttp 124 "GET /static/xadmin/vendor/bootstrap-image-gallery/css/bootstrap-image-gallery.css HTTP/1.1" 200 3339
INFO 2020-12-03 22:44:25,119 basehttp 124 "GET /static/xadmin/vendor/load-image/load-image.js HTTP/1.1" 200 8309
INFO 2020-12-03 22:44:25,123 basehttp 124 "GET /static/xadmin/vendor/bootstrap-image-gallery/js/bootstrap-image-gallery.js HTTP/1.1" 200 15611
INFO 2020-12-03 22:44:25,130 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 22:46:38,577 basehttp 124 "GET /admin/home/banner/add/ HTTP/1.1" 200 19806
INFO 2020-12-03 22:46:38,613 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 22:47:32,045 basehttp 124 "POST /admin/home/banner/add/ HTTP/1.1" 302 0
INFO 2020-12-03 22:47:32,187 basehttp 124 "GET /admin/home/banner/add/ HTTP/1.1" 200 20146
INFO 2020-12-03 22:47:32,279 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 22:48:19,101 basehttp 124 "POST /admin/home/banner/add/ HTTP/1.1" 302 0
INFO 2020-12-03 22:48:19,188 basehttp 124 "GET /admin/home/banner/add/ HTTP/1.1" 200 20142
INFO 2020-12-03 22:48:19,228 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 22:48:37,694 basehttp 124 "POST /admin/home/banner/add/ HTTP/1.1" 302 0
INFO 2020-12-03 22:48:37,790 basehttp 124 "GET /admin/home/banner/ HTTP/1.1" 200 29519
INFO 2020-12-03 22:48:37,868 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.actions.js HTTP/1.1" 200 4198
INFO 2020-12-03 22:48:37,882 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 22:49:12,903 basehttp 124 "GET /admin/home/banner/?_cols=title.orders.is_show.img HTTP/1.1" 200 31590
INFO 2020-12-03 22:49:12,942 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-12-03 22:49:14,975 basehttp 124 "GET /admin/home/banner/?_cols=title.orders.is_show.img.link HTTP/1.1" 200 32666
INFO 2020-12-03 22:49:15,027 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
WARNING 2020-12-03 22:59:05,280 base 93 Not Found: /api/home/banners/
WARNING 2020-12-03 22:59:05,281 basehttp 124 "GET /api/home/banners/ HTTP/1.1" 404 2221
WARNING 2020-12-03 22:59:52,855 base 93 Not Found: /api/home/banners/
WARNING 2020-12-03 22:59:52,856 basehttp 124 "GET /api/home/banners/ HTTP/1.1" 404 2221
INFO 2020-12-03 23:00:44,820 basehttp 124 "GET /home/banners/ HTTP/1.1" 200 247
INFO 2020-12-03 23:20:52,125 basehttp 124 "GET /admin/home/banner/?_cols=title.orders.is_show.img.link HTTP/1.1" 200 32666
ERROR 2020-12-03 23:50:15,505 exception 74 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-12-03 23:50:15,554 basehttp 124 "GET /home/banners/ HTTP/1.1" 400 65367
INFO 2020-12-03 23:50:58,867 basehttp 124 "GET /home/banners/ HTTP/1.1" 200 247
ERROR 2020-12-03 23:51:53,513 exception 74 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-12-03 23:51:53,543 basehttp 124 "GET /home/banners/ HTTP/1.1" 400 65367
INFO 2020-12-03 23:52:03,781 basehttp 124 "GET /home/banners/ HTTP/1.1" 200 247
ERROR 2020-12-03 23:53:38,515 exception 74 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-12-03 23:53:38,556 basehttp 124 "GET /home/banners/ HTTP/1.1" 400 65367
ERROR 2020-12-03 23:54:06,510 exception 74 Invalid HTTP_HOST header: '127.0.0.1:8000'. You may need to add '127.0.0.1' to ALLOWED_HOSTS.
WARNING 2020-12-03 23:54:06,549 basehttp 124 "GET /home/banners/ HTTP/1.1" 400 65464
INFO 2020-12-03 23:54:38,208 basehttp 124 "GET /home/banners/ HTTP/1.1" 200 247
INFO 2020-12-04 00:00:07,811 basehttp 124 "GET /home/banners/ HTTP/1.1" 200 247
INFO 2020-12-04 00:00:07,929 basehttp 124 "GET /media/banner/02.png HTTP/1.1" 200 364808
INFO 2020-12-04 00:00:07,963 basehttp 124 "GET /media/banner/03.png HTTP/1.1" 200 745382
INFO 2020-12-04 00:00:08,006 basehttp 124 "GET /media/banner/01.png HTTP/1.1" 200 737783
INFO 2020-12-04 00:02:07,787 basehttp 124 "GET /admin/home/banner/add/ HTTP/1.1" 200 19806
ERROR 2020-12-04 00:02:07,789 basehttp 124 "GET /admin/home/banner/add/ HTTP/1.1" 500 59
INFO 2020-12-04 00:02:09,115 basehttp 124 "GET /admin/home/banner/add/ HTTP/1.1" 200 19806
INFO 2020-12-04 00:02:09,168 basehttp 124 "GET /static/xadmin/vendor/bootstrap/css/bootstrap.css HTTP/1.1" 304 0
INFO 2020-12-04 00:02:09,201 basehttp 124 "GET /static/xadmin/css/themes/bootstrap-xadmin.css HTTP/1.1" 304 0
INFO 2020-12-04 00:02:09,204 basehttp 124 "GET /static/xadmin/css/xadmin.plugins.css HTTP/1.1" 304 0
INFO 2020-12-04 00:02:09,205 basehttp 124 "GET /static/xadmin/css/xadmin.main.css HTTP/1.1" 304 0
